ID,sentence_1_vie,sentence_2_viet,score
ENG-train-0000,"Nếu điều đó xảy ra, hãy rút phích cắm ra.","Nếu điều đó xảy ra, hãy rút phích cắm ra ngay.",1
ENG-train-0001,Một con chó đen đang chạy trong nước.,Một con chó đen đang chạy qua vũng nước.,1
ENG-train-0002,Tôi đã tìm kiếm khắp tu viện để tìm bạn.,Tôi đang tìm bạn khắp tu viện.,1
ENG-train-0003,"Nếu anh ta đẹp trai và có tính cách tốt, anh ta có thể là người dị tính - nhưng nhiều khả năng là người song tính.","Nếu anh ấy đẹp trai và có tính cách tốt, anh ấy CÓ THỂ là người dị tính, nhưng nhiều khả năng là người song tính.",1
ENG-train-0004,"Cô ấy không ghét bạn, chỉ là cô ấy đang khó chịu với bạn thôi.","Cô ấy không ghét bạn, chỉ là hơi khó chịu thôi.",1
ENG-train-0005,Nam diễn viên Gazzara qua đời ở tuổi 81.,Nam diễn viên Ben Gazzara qua đời ở tuổi 81.,1
ENG-train-0006,"Không, tôi thực sự không muốn New York thắng.","Không, tôi không muốn New York thắng.",1
ENG-train-0007,Tôi không có vấn đề gì với họ cả.,"Haha, tôi không có vấn đề gì với họ cả.",1
ENG-train-0008,"Bố mẹ bạn không nhất thiết phải thích bạn trai của bạn, mà chính bạn mới là người phải thích.","Bố mẹ bạn không nhất thiết phải thích bạn trai của bạn, mà chính bạn mới là người phải thích.",1
ENG-train-0009,"Tôi thấy Taylor rất dễ thương, nhưng tôi ghét giọng hát của cậu ấy.",Tôi thấy Taylor cực kỳ dễ thương... nhưng tôi ghét giọng hát của cậu ấy.,1
ENG-train-0010,Một chú chó màu nâu nhạt chạy dọc con đường một cách vui vẻ.,Một con chó màu nhạt chạy dọc theo con đường.,1
ENG-train-0011,Đứa trẻ bốn tuổi trong cốp xe của bạn.,Đứa trẻ 4 tuổi trong cốp xe của bạn,1
ENG-train-0012,Có thể sau này bạn sẽ nhận ra rằng mình đã đánh mất người hoàn hảo.,Có thể sau này bạn sẽ nhận ra mình đã đánh mất người hoàn hảo.,1
ENG-train-0013,Nếu cô ấy nói rằng chỉ muốn làm bạn thì đã quá muộn rồi.,Nếu cô ấy đã nói chỉ muốn làm bạn thì đã quá muộn rồi.,1
ENG-train-0014,Một người đàn ông đang đổ cơm vào chảo.,Một người đàn ông đổ ric-a-roni vào chảo.,1
ENG-train-0015,Con trai có thể rất kỳ quặc. Tôi biết điều đó.,Con trai có thể rất kỳ quặc; tôi biết điều đó.,1
ENG-train-0016,Một con chó màu nâu đang nhảy.,Một con chó màu nâu đang nhảy,1
ENG-train-0017,Fritz Laband là một cầu thủ bóng đá người Đức.,Fritz Laband là một cựu cầu thủ bóng đá người Đức.,1
ENG-train-0018,Đừng tin lời gã này dù chỉ một giây.,Đừng tin lời gã này dù chỉ một giây.,1
