PairID,Sentence1,Sentence2,STR
1,Sự_cố mắc_cạn tàu Cửu_Long 01 : Chuẩn_bị kéo tàu ra khơi,Chính quyền địa phương đang triển khai kế hoạch mở rộng cảng cá để phục vụ tàu đánh bắt xa bờ trong mùa mưa bão.,0
2,Sự_cố mắc_cạn tàu Cửu_Long 01 : Chuẩn_bị kéo tàu ra khơi,"Công tác cứu hộ các tàu gặp sự cố trên biển thường đòi hỏi sự phối hợp giữa lực lượng hàng hải, cứu nạn và điều kiện thời tiết thuận lợi.",1
3,Sự_cố mắc_cạn tàu Cửu_Long 01 : Chuẩn_bị kéo tàu ra khơi,"Sau khi tàu Cửu Long 01 bị mắc cạn, các lực lượng chức năng đang tiến hành chuẩn bị các phương án để kéo tàu trở lại biển.",2
4,"Mở đường_bay từ Cà_Mau , Cần_Thơ đi TP HCM",Ngành du lịch đang quảng bá các tuyến xe khách chất lượng cao kết nối các tỉnh miền Trung với khu vực Tây Nguyên.,0
5,"Mở đường_bay từ Cà_Mau , Cần_Thơ đi TP HCM",Việc phát triển mạng lưới giao thông giữa các tỉnh đồng bằng sông Cửu Long và TP HCM được kỳ vọng sẽ thúc đẩy giao thương và du lịch.,1
6,"Mở đường_bay từ Cà_Mau , Cần_Thơ đi TP HCM",Các tuyến bay mới từ Cà Mau và Cần Thơ đến TP HCM đang được triển khai.,2
7,Việt_Nam tạm ngừng nhập thịt bò Mỹ,Nông dân trong nước đang chuyển sang áp dụng mô hình chăn nuôi hữu cơ để nâng cao chất lượng thịt lợn.,0
8,Việt_Nam tạm ngừng nhập thịt bò Mỹ,Hoạt động nhập khẩu thực phẩm vào Việt Nam thường chịu ảnh hưởng bởi các quy định về an toàn vệ sinh và kiểm dịch.,1
9,Việt_Nam tạm ngừng nhập thịt bò Mỹ,Việt Nam đã quyết định tạm thời dừng việc nhập khẩu thịt bò từ Hoa Kỳ.,2
10,"Từ ngày 24 tết hành_khách còn được phục_vụ nước suối , khăn lạnh , bánh kẹo và vé đi xe_buýt miễn_phí ( trả lại cho hành_khách 2000 đồng đi xe_buýt ) .","Trong dịp Tết, nhiều siêu thị kéo dài thời gian mở cửa và tung ra các chương trình giảm giá lớn cho hàng tiêu dùng.",0
11,"Từ ngày 24 tết hành_khách còn được phục_vụ nước suối , khăn lạnh , bánh kẹo và vé đi xe_buýt miễn_phí ( trả lại cho hành_khách 2000 đồng đi xe_buýt ) .","Vào cao điểm Tết, các đơn vị vận tải thường bổ sung thêm nhiều tiện ích nhằm nâng cao trải nghiệm cho người đi lại.",1
12,"Từ ngày 24 tết hành_khách còn được phục_vụ nước suối , khăn lạnh , bánh kẹo và vé đi xe_buýt miễn_phí ( trả lại cho hành_khách 2000 đồng đi xe_buýt ) .","Bắt đầu từ ngày 24 Tết, hành khách sẽ được cung cấp nước suối, khăn lạnh, bánh kẹo và được miễn phí vé xe buýt, tương đương hoàn lại 2.000 đồng tiền đi xe buýt.",2
13,Quá_tải ở các bệnh_viện ( BV ) lớn đã trở_thành một vấn_đề bức_xúc .,Nhiều trường đại học đang điều chỉnh chương trình đào tạo để phù hợp hơn với nhu cầu của thị trường lao động.,0
14,Quá_tải ở các bệnh_viện ( BV ) lớn đã trở_thành một vấn_đề bức_xúc .,Hệ thống y tế đang đối mặt với nhiều thách thức trong việc phân bổ nguồn lực và nâng cao chất lượng khám chữa bệnh.,1
15,Quá_tải ở các bệnh_viện ( BV ) lớn đã trở_thành một vấn_đề bức_xúc .,Tình trạng các bệnh viện lớn bị quá tải hiện nay đã trở thành vấn đề gây nhiều bức xúc.,2
16,Quĩ khám_chữa bệnh cho người nghèo ra_đời cuối năm 2002 .,Nhiều doanh nghiệp bắt đầu triển khai các chương trình chuyển đổi số nhằm nâng cao hiệu quả hoạt động sản xuất kinh doanh.,0
17,Quĩ khám_chữa bệnh cho người nghèo ra_đời cuối năm 2002 .,Các chính sách hỗ trợ tài chính cho người có hoàn cảnh khó khăn trong lĩnh vực y tế đã được Nhà nước quan tâm triển khai từ đầu những năm 2000.,1
18,Quĩ khám_chữa bệnh cho người nghèo ra_đời cuối năm 2002 .,Quỹ hỗ trợ khám chữa bệnh dành cho người nghèo được thành lập vào cuối năm 2002.,2
19,Kiên_Giang : bò_biển nặng trên 400 kg bị sát_hại,Nông dân Kiên Giang đang thu hoạch lúa vụ đông xuân với năng suất cao nhờ thời tiết thuận lợi.,0
20,Kiên_Giang : bò_biển nặng trên 400 kg bị sát_hại,Các cơ quan chức năng tại Kiên Giang đang tăng cường bảo vệ động vật quý hiếm trước nguy cơ săn bắt trái phép.,1
21,Kiên_Giang : bò_biển nặng trên 400 kg bị sát_hại,"Tại Kiên Giang, một con bò biển có trọng lượng hơn 400 kg đã bị giết chết.",2
22,Thủ_tướng phát lệnh thông xe tuyến tránh thị_xã Tân_An,Bộ Giáo dục và Đào tạo công bố kế hoạch điều chỉnh lịch thi tốt nghiệp trung học phổ thông trên toàn quốc.,0
23,Thủ_tướng phát lệnh thông xe tuyến tránh thị_xã Tân_An,Nhiều dự án giao thông trọng điểm đang được triển khai nhằm giảm ùn tắc và thúc đẩy phát triển kinh tế tại các đô thị.,1
